condition,medication,reason
CHF,ramipril,Proven benefit in systolic heart failure
CHF,bisoprolol,Proven mortality benefit in heart failure
Atrial fibrillation,apixaban,Stroke prevention in AF
Atrial fibrillation,warfarin,Reduce embolism risk
Type 2 diabetes,metformin,First-line therapy for T2DM
Hypertension,amlodipine,Effective antihypertensive for most patients
Osteoarthritis,paracetamol,First-line analgesic for OA pain
Stable angina,beta_blocker,First line treatment
Stable angina,verapamil,Second line treatment after beta blockers/ in combination
Ischaemic heart disease,atorvastatin,If QRISK >10%/DM/CKD>=stage 3A
Ischaemic heart disease,ramipril,Commonly given post- MI/Improves LV function at rest/post-exercise
Ischaemic heart disease,aspirin,Reduce MI risk
Ischaemic heart disease,clopidogrel,Reduce MI risk
COPD,ipratropium,For mild-moderate
COPD,inhaled_corticosteroid,For moderate-severe (if repeated exacerbations)
Asthma,inhaled_corticosteroid,For moderate-severe (if repeated exacerbations)
CKD,acei,(With proteinuria) Slow disease progression and reduce cardiovascular risks
CKD,arb,(With proteinuria) (If ACEI intolerant) Slow disease progression and reduce cardiovascular risks
Osteoporosis,adcal-D3,If dietary Calcium inadequate- to reduce fragility fracture risk
Osteoporosis,alendronate,If no contraindication- to reduce fragility fracture risk
Ischaemic heart disease,ppi,If on Aspirin/oral corticosteroid/SSRI- increased risk of peptic ulcer
Rheumatoid Arthritis,methotrexate,In active disabling RA
Rheumatoid Arthritis,folic_acid,Supplement for those taking methotrexate
Glaucoma,beta_blocker,Topical prostaglandin/ prostamide/ beta blocker